,latitude,longitude,UnifiedRegion
0,45.25,-121.75,Mt Hood
1,45.25,-121.5,Mt Hood
0,47.5,-123.75,Olympics
1,47.5,-123.5,Olympics
2,47.5,-123.25,Olympics
3,47.5,-123.0,Olympics
4,47.75,-123.75,Olympics
5,47.75,-123.5,Olympics
6,47.75,-123.25,Olympics
7,47.75,-123.0,Olympics
8,48.0,-123.75,Olympics
9,48.0,-123.5,Olympics
10,48.0,-123.25,Olympics
11,48.0,-123.0,Olympics
