61,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
62,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_10"
63,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
64,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10"
65,"SNOWDAS_SnowDepth_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10"
66,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_10"
67,"MaxTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
68,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_10"
69,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
70,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
71,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10"
72,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10"
73,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
74,"AvgTempSurfaceF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
75,MaxTempSurfaceF__approximate_entropy__m_2__r_0.5
76,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
77,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10"
78,SNOWDAS_SWE_mm__absolute_sum_of_changes
79,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10"
80,"SNOWDAS_SnowDepth_mm__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
81,"AvgTemp2mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10"
82,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
83,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10"
84,"SNOWDAS_SnowDepth_mm__fft_coefficient__coeff_2__attr_""abs"""
85,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
86,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10"
87,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
88,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10"
89,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10"
90,"MaxTempSurfaceF__fft_aggregated__aggtype_""kurtosis"""
91,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10"
92,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10"
93,"MaxTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_10"
94,AvgTemp2mAboveGroundF__cid_ce__normalize_True
95,"AvgTemp80mAboveGroundF__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10"
