Lat, Lon
31.218123,-114.391443
31.233607,-114.2653
31.248989,-114.139123
31.264271,-114.012913
31.279452,-113.88667
31.294532,-113.760394
31.309511,-113.634085
31.324389,-113.507743
31.339166,-113.381369
31.353842,-113.254963
31.368417,-113.128525
31.382891,-113.002056
31.397264,-112.875554
31.411535,-112.749022
31.425705,-112.622458
31.439774,-112.495864
31.453742,-112.369238
31.467608,-112.242583
31.481373,-112.115897
31.495037,-111.98918
31.508599,-111.862435
31.52206,-111.735659
31.535419,-111.608854
31.548677,-111.48202
31.561833,-111.355157
31.574888,-111.228265
31.587841,-111.101344
31.600693,-110.974395
31.613443,-110.847418
31.626092,-110.720413
31.638638,-110.59338
31.651084,-110.46632
31.663427,-110.339233
31.675669,-110.212118
31.687809,-110.084976
31.699847,-109.957808
31.711783,-109.830614
31.723617,-109.703393
31.73535,-109.576146
31.746981,-109.448874
31.75851,-109.321576
31.769936,-109.194252
31.781261,-109.066903
31.792484,-108.93953
31.803605,-108.812132
31.814624,-108.684709
31.825541,-108.557262
31.836356,-108.429791
31.847069,-108.302296
31.857679,-108.174778
31.868188,-108.047236
31.878594,-107.919671
31.888898,-107.792083
31.8991,-107.664472
31.9092,-107.536839
31.919197,-107.409183
31.929092,-107.281506
31.938885,-107.153806
31.948576,-107.026085
31.958164,-106.898343
31.96765,-106.770579
31.977034,-106.642794
31.986315,-106.514989
31.995494,-106.387163
32.00457,-106.259317
32.013544,-106.131451
32.022416,-106.003565
32.031185,-105.875659
32.039852,-105.747734
32.048416,-105.619789
32.056877,-105.491826
32.065237,-105.363844
32.073493,-105.235844
32.081647,-105.107825
32.089698,-104.979788
32.097647,-104.851733
32.105493,-104.723661
32.113237,-104.595571
32.120878,-104.467464
32.128416,-104.339341
32.135851,-104.2112
32.143184,-104.083043
32.150414,-103.95487
32.157541,-103.826681
32.164566,-103.698476
32.171488,-103.570255
32.178307,-103.442019
32.185023,-103.313768
32.191637,-103.185502
32.198148,-103.057221
32.204556,-102.928926
32.210861,-102.800616
32.217063,-102.672293
29.762651,-124.383591
29.786096,-124.260661
29.809443,-124.137682
29.832692,-124.014655
29.855843,-123.891579
29.878897,-123.768454
29.901853,-123.645282
29.924711,-123.522061
29.947471,-123.398793
29.970133,-123.275476
29.992697,-123.152113
30.015164,-123.028702
30.037532,-122.905244
30.059802,-122.781738
30.081973,-122.658187
30.104047,-122.534588
30.126022,-122.410943
30.147899,-122.287252
30.169677,-122.163515
30.191357,-122.039731
30.212939,-121.915903
30.234422,-121.792028
30.255806,-121.668109
30.277092,-121.544144
30.298279,-121.420134
30.319368,-121.296079
30.340357,-121.17198
30.361248,-121.047836
30.38204,-120.923648
30.402733,-120.799416
30.423328,-120.67514
30.443823,-120.550821
30.464219,-120.426458
30.484516,-120.302051
30.504714,-120.177602
30.524813,-120.053109
30.544812,-119.928574
30.564713,-119.803997
30.584514,-119.679376
30.604216,-119.554714
30.623818,-119.43001
30.643321,-119.305264
30.662725,-119.180476
30.682029,-119.055647
30.701233,-118.930776
30.720338,-118.805865
30.739343,-118.680913
30.758249,-118.55592
30.777055,-118.430886
30.795761,-118.305813
30.814367,-118.180699
30.832874,-118.055545
30.851281,-117.930352
30.869587,-117.805119
30.887794,-117.679847
30.905901,-117.554535
30.923908,-117.429185
30.941815,-117.303796
30.959622,-117.178369
30.977328,-117.052903
30.994935,-116.927399
31.012441,-116.801858
31.029847,-116.676278
31.047153,-116.550661
31.064358,-116.425007
31.081463,-116.299315
31.098468,-116.173587
31.115372,-116.047822
31.132176,-115.92202
31.148879,-115.796182
31.165482,-115.670308
31.181984,-115.544398
31.198386,-115.418452
31.214687,-115.292471
31.230887,-115.166454
31.246987,-115.040403
31.262986,-114.914316
31.278884,-114.788195
31.294681,-114.662039
31.310378,-114.535849
31.325974,-114.409624
31.341468,-114.283366
31.356862,-114.157074
31.372155,-114.030749
31.387347,-113.90439
31.402438,-113.777999
31.417428,-113.651574
31.432316,-113.525117
31.447104,-113.398628
31.46179,-113.272106
31.476376,-113.145552
31.49086,-113.018966
31.505243,-112.892349
31.519524,-112.7657
31.533705,-112.63902
31.547783,-112.512309
31.561761,-112.385568
31.575637,-112.258795
31.589412,-112.131993
31.603085,-112.00516
31.616657,-111.878297
31.630128,-111.751405
31.643497,-111.624483
31.656764,-111.497532
31.66993,-111.370552
31.682994,-111.243543
31.695956,-111.116505
31.708817,-110.989439
31.721576,-110.862344
31.734234,-110.735222
31.746789,-110.608072
31.759243,-110.480894
31.771596,-110.353688
31.783846,-110.226456
31.795994,-110.099197
31.808041,-109.971911
31.819986,-109.844598
31.831829,-109.717259
31.84357,-109.589894
31.855209,-109.462504
31.866746,-109.335087
31.87818,-109.207645
31.889513,-109.080178
31.900744,-108.952686
31.911873,-108.825169
31.9229,-108.697628
31.933824,-108.570062
31.944647,-108.442473
31.955367,-108.314859
31.965985,-108.187222
31.976501,-108.059561
31.986915,-107.931877
31.997226,-107.80417
32.007435,-107.67644
32.017542,-107.548687
32.027547,-107.420912
32.037449,-107.293116
32.047249,-107.165297
